frequency,userid,tag
3,35478,objective-c
1,35478,mysql
1,35478,php
10,66532,vb.net
5,66532,.net
4,66532,c#
1,66532,algorithm
1,66532,optimization
1,66532,php
1,66532,asp.net
21,35116,php
6,35116,c#
5,35116,sql-server
5,35116,sql
4,35116,asp.net
4,35116,html
4,35116,.net
4,35116,mysql
4,35116,java
3,35116,css
26,30568,multithreading
15,30568,c++
9,30568,windows
7,30568,database
7,30568,c#
5,30568,windows-vista
4,30568,.net
4,30568,python
3,30568,windows-installer
2,30568,osx
1,223226,algorithm
14,83805,functional-programming
2,83805,multithreading
2,83805,algorithm
1,83805,opengl
1,83805,python
1,83805,c#
1,83805,php
1,83805,data-structures
1,83805,database
1,83805,optimization
5,207838,opengl
2,207838,c++
7,10527,sql
4,10527,sql-server
2,10527,asp.net
2,10527,database
1,10527,sqlite
1,10527,sql-server-2005
1,10527,c#
1,10527,python
1,10527,windows
4,5836,sql
4,5836,sql-server
3,5836,asp.net
2,5836,asp.net-mvc
2,5836,vb6
2,5836,windows
1,5836,.net
1,5836,tsql
1,5836,functional-programming
1,5836,sql-server-2005
3,219159,java
2,219159,sql
2,219159,php
1,219159,filesystems
1,219159,c
1,219159,html
1,219159,windows
1,219159,mysql
1,219159,c#
1,219159,assembly
7,118437,java
5,118437,javascript
4,118437,jquery
2,118437,php
1,118437,osx
1,118437,data-structures
1,118437,sql
1,118437,algorithm
14,16800,c#
4,16800,.net
4,16800,java
2,16800,windows
2,16800,c++
2,16800,javascript
1,16800,vb6
1,16800,multithreading
1,16800,ajax
1,16800,asp.net
1,17294,java
2,7919,java
2,7919,algorithm
1,7919,mysql
1,7919,query-optimization
1,7919,data-structures
42,1070,c#
24,1070,asp.net
18,1070,.net
11,1070,sql-server
9,1070,asp.net-mvc
8,1070,sql
6,1070,database
5,1070,linq-to-sql
4,1070,database-design
3,1070,sql-server-2005
2,49381,python
1,49381,optimization
1,49381,assembly
1,49381,c++
4,3041,jquery
1,3041,jquery-ui
1,3041,html
1,3041,jquery-selectors
1,3041,css
1,3041,javascript
3,65845,c
1,65845,javascript
1,65845,.net
1,65845,c++
1,65845,c#
3,83144,sql
3,83144,sql-server
1,83144,database
6,32958,python
5,32958,.net
4,32958,c#
3,32958,algorithm
2,32958,vb.net
1,32958,c
1,32958,linux
1,32958,c++
1,32958,python-3.x
1,32958,linux-kernel
47,168212,java
5,168212,c++
5,168212,spring
2,168212,database
2,168212,frameworks
2,168212,exception-handling
1,168212,multithreading
1,168212,project-management
1,168212,linq-to-sql
1,168212,c
94,95612,python
3,95612,algorithm
2,95612,google-app-engine
2,95612,mysql
2,95612,jquery
1,95612,javascript
1,95612,sqlite
1,95612,php
1,95612,multithreading
1,95612,eclipse
4,2089740,c#
4,2089740,windows
4,2089740,python
3,2089740,c++
2,2089740,c
2,2089740,recursion
2,2089740,java
2,2089740,algorithm
2,2089740,data-structures
1,2089740,graphics
8,2342,sql-server
3,2342,sql-server-2005
3,2342,tsql
3,2342,database
2,2342,database-design
2,2342,vb.net
2,2342,sql
2,2342,asp.net
1,2342,algorithm
1,2342,windows
11,29057,c++
5,29057,python
4,29057,multithreading
1,29057,cross-platform
1,29057,c
1,29057,algorithm
1,29057,linux
1,29057,osx
1,29057,deployment
1,29057,open-source
178,1288,java
61,1288,c++
53,1288,algorithm
42,1288,c#
36,1288,c
25,1288,.net
17,1288,php
15,1288,javascript
14,1288,html
14,1288,sql
1,75224,.net
1,75224,c#
56,14149,vb.net
16,14149,.net
14,14149,c#
4,14149,vb6
3,14149,algorithm
2,14149,javascript
2,14149,asp.net
2,14149,java
1,14149,linq-to-sql
1,14149,assembly
13,14749,javascript
5,14749,windows
3,14749,java
1,14749,java-ee
1,14749,database
1,14749,html
1,14749,documentation
1,14749,api
1,14749,junit
1,14749,c
26,15609,jquery
14,15609,javascript
10,15609,css
7,15609,html
5,15609,asp.net
4,15609,c#
4,15609,asp.net-mvc
4,15609,ajax
2,15609,sql
1,15609,tsql
19,74118,objective-c
3,74118,osx
3,74118,sqlite
1,74118,css
1,74118,jquery
1,74118,project-management
1,74118,javascript
1,74118,api
1,74118,html
88,10893,silverlight
18,10893,c#
14,10893,.net
13,10893,silverlight-3.0
13,10893,silverlight-2.0
11,10893,asp.net
5,10893,xaml
3,10893,sql-server
3,10893,asp.net-mvc
2,10893,data-binding
10,4092,c#
7,4092,.net
6,4092,asp.net
2,4092,java
2,4092,css
2,4092,sql-server
